USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0 172404  9204 ?        Ss   ago24   0:21 /sbin/init splash
root         168  0.0  0.0      0     0 ?        I<   ago24   0:00 [charger_manager]
root         190  0.0  0.0      0     0 ?        I<   ago24   0:30 [kworker/2:1H-kblockd]
root         227  0.0  0.0      0     0 ?        I<   ago24   0:00 [cryptd]
root         248  0.0  0.0      0     0 ?        I<   ago24   0:41 [kworker/5:1H-events_highpri]
root         249  0.0  0.0      0     0 ?        I<   ago24   0:00 [nvme-wq]
root         250  0.0  0.0      0     0 ?        I<   ago24   0:00 [nvme-reset-wq]
root         251  0.0  0.0      0     0 ?        I<   ago24   0:00 [nvme-delete-wq]
root         254  0.0  0.0      0     0 ?        S    ago24   3:00 [irq/166-DELL0B2]
root         258  0.0  0.0      0     0 ?        S    ago24   0:00 [card0-crtc0]
root         259  0.0  0.0      0     0 ?        S    ago24   0:00 [card0-crtc1]
root         260  0.0  0.0      0     0 ?        S    ago24   0:00 [card0-crtc2]
root         261  0.0  0.0      0     0 ?        S    ago24   0:00 [card0-crtc3]
root         264  0.0  0.0      0     0 ?        I<   ago24   0:36 [kworker/6:1H-events_highpri]
root         268  0.0  0.0      0     0 ?        I<   ago24   0:31 [kworker/4:1H-events_highpri]
root         270  0.0  0.0      0     0 ?        I<   ago24   0:35 [kworker/7:1H-events_highpri]
root         277  0.0  0.0      0     0 ?        I<   ago24   0:27 [kworker/3:1H-events_highpri]
root         284  0.0  0.0      0     0 ?        I<   ago24   0:30 [kworker/1:1H-events_highpri]
root         542  0.0  0.0      0     0 ?        I<   ago24   0:00 [kdmflush]
root         547  0.0  0.0      0     0 ?        I<   ago24   0:00 [kcryptd_io/253:]
root         548  0.0  0.0      0     0 ?        I<   ago24   0:00 [kcryptd/253:0]
root         549  0.0  0.0      0     0 ?        S    ago24   0:35 [dmcrypt_write/2]
root         552  0.0  0.0      0     0 ?        I<   ago24   0:00 [kdmflush]
root         553  0.0  0.0      0     0 ?        I<   ago24   0:00 [kdmflush]
root         602  0.0  0.0      0     0 ?        S    ago24   1:05 [jbd2/dm-1-8]
root         603  0.0  0.0      0     0 ?        I<   ago24   0:00 [ext4-rsv-conver]
root         660  0.0  0.2 353780 37636 ?        S<s  ago24   0:30 /lib/systemd/systemd-journald
root         687  0.0  0.0  36296 15736 ?        Ss   ago24   1:45 /lib/systemd/systemd-udevd
root         796  0.0  0.0      0     0 ?        I<   ago24   0:00 [cfg80211]
